"filename", "language", "Swift", "C++", "JSON", "XML", "YAML", "Markdown", "Dart", "HTML", "Properties", "Gradle", "comment", "blank", "total"
"g:\flutter_projects\e_learning\lib\features\layout\profile\data\models\profile_item_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 19
"g:\flutter_projects\e_learning\lib\features\layout\profile\ui\views\profile_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 4, 51
"g:\flutter_projects\e_learning\lib\features\layout\profile\ui\widgets\profile_info.dart", "Dart", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 3, 36
"g:\flutter_projects\e_learning\lib\features\layout\profile\ui\widgets\profile_item.dart", "Dart", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 2, 38
"g:\flutter_projects\e_learning\lib\features\splash\ui\views\splash_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 7, 55
"g:\flutter_projects\e_learning\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 4, 27
"g:\flutter_projects\e_learning\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"g:\flutter_projects\e_learning\linux\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"g:\flutter_projects\e_learning\linux\main.cc", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"g:\flutter_projects\e_learning\linux\my_application.cc", "C++", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 17, 26, 125
"g:\flutter_projects\e_learning\linux\my_application.h", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"g:\flutter_projects\e_learning\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 13
"g:\flutter_projects\e_learning\macos\RunnerTests\RunnerTests.swift", "Swift", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"g:\flutter_projects\e_learning\macos\Runner\AppDelegate.swift", "Swift", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"g:\flutter_projects\e_learning\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
